wavelength,Vr (V),I_photo (A),sigma_photo (A)
2100A,0.37718,1.3014344670841782e-09,4.2878421335104273e-11
2100A,0.39289,1.3057794670841781e-09,4.5040094145747805e-11
2100A,0.40861,1.345731467084178e-09,4.296832837847344e-11
2100A,0.42432,1.363822467084178e-09,4.175588780326345e-11
2100A,0.44004,1.3185054670841781e-09,3.7467235673856774e-11
2100A,0.45576,1.228734467084178e-09,4.171152456628055e-11
2100A,0.47147,1.207168467084178e-09,4.023021895195483e-11
2100A,0.48719,1.2477984670841782e-09,4.0754014124596676e-11
2100A,0.5029,1.2170274670841782e-09,3.8062964754442415e-11
2100A,0.51862,1.2342704670841781e-09,3.8751000893400496e-11
2100A,0.53433,1.2217994670841782e-09,3.823503336033494e-11
2100A,0.55005,1.223388467084178e-09,3.796364300538511e-11
2100A,0.56577,1.193335467084178e-09,3.95705989713313e-11
2100A,0.58148,1.211373467084178e-09,3.670629259270712e-11
